timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-15T11:40:58.146658,61.0,54.5,52.0,51.5,38.4,19.2,9.0,8.0
2026-04-15T11:40:59.151881,72.7,67.0,63.3,62.0,44.9,35.0,22.2,17.0
2026-04-15T11:41:00.155100,42.4,36.4,31.0,28.0,24.7,28.3,8.0,3.9
2026-04-15T11:41:01.158851,58.2,54.0,52.5,50.0,32.7,11.0,3.0,1.0
2026-04-15T11:41:02.161986,62.0,43.9,39.4,46.0,36.5,19.2,12.0,7.0
2026-04-15T11:41:03.167323,76.8,72.0,69.0,67.0,23.2,6.9,4.0,3.0
2026-04-15T11:41:04.169514,51.5,47.5,42.4,46.0,33.3,41.2,19.8,15.2
2026-04-15T11:41:05.170595,55.0,55.6,47.5,43.9,32.0,7.0,2.0,2.0
2026-04-15T11:41:06.174885,56.1,50.0,46.0,45.5,40.4,19.2,10.1,7.0
2026-04-15T11:41:07.177295,69.0,69.7,65.3,66.7,22.4,18.2,11.0,7.0
2026-04-15T11:41:08.181046,51.0,49.5,47.5,41.0,23.7,20.2,4.0,1.0
