Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-07-08T16:42:37.237599,  0.0,05.1104,0.47631,02.4339
2026-07-08T16:42:38.239869,  1.0,05.1102,0.47619,02.4333
2026-07-08T16:42:39.249179,  2.0,05.1104,0.65161,03.3297
2026-07-08T16:42:40.256473,  3.0,05.1102,0.81624,04.1709
2026-07-08T16:42:41.266312,  4.0,05.1100,0.82608,04.2212
2026-07-08T16:42:42.276078,  5.0,05.1134,0.69131,03.5325
2026-07-08T16:42:43.276818,  6.0,05.1134,0.61943,03.1652
2026-07-08T16:42:44.287059,  7.0,05.1041,0.62162,03.1702
2026-07-08T16:42:45.294527,  8.1,05.1005,0.71691,03.6562
2026-07-08T16:42:46.304683,  9.1,05.1122,0.62026,03.1695
2026-07-08T16:42:47.313331, 10.1,05.1123,0.67559,03.4522
2026-07-08T16:42:48.323683, 11.1,05.1017,0.76700,03.9117
2026-07-08T16:42:49.326846, 12.1,05.1114,0.60525,03.0928
2026-07-08T16:42:50.335564, 13.1,05.1131,0.49028,02.5053
2026-07-08T16:42:51.345473, 14.1,05.1131,0.59351,03.0328
2026-07-08T16:42:52.353498, 15.1,05.1144,0.52448,02.6800
2026-07-08T16:42:53.363575, 16.1,05.1091,0.54670,02.7881
2026-07-08T16:42:54.372896, 17.1,05.1076,0.83426,04.2547
2026-07-08T16:42:55.373215, 18.1,05.1111,0.62264,03.1816
2026-07-08T16:42:56.383206, 19.1,05.1137,0.94027,04.8047
2026-07-08T16:42:57.393203, 20.2,05.1119,0.64950,03.3189
2026-07-08T16:42:58.402824, 21.2,05.1012,0.78160,03.9861
2026-07-08T16:42:59.412894, 22.2,05.1170,0.51125,02.6124
2026-07-08T16:43:00.422644, 23.2,05.1112,0.50504,02.5807
2026-07-08T16:43:01.432101, 24.2,05.1145,0.58956,03.0126
2026-07-08T16:43:02.433271, 25.2,05.1134,0.57040,02.9147
2026-07-08T16:43:03.435471, 26.2,05.1101,0.53154,02.7161
2026-07-08T16:43:04.439608, 27.2,05.1091,0.63677,03.2475
2026-07-08T16:43:05.447636, 28.2,05.1116,0.58061,02.9669
2026-07-08T16:43:06.448559, 29.2,05.1051,0.64323,03.2804
2026-07-08T16:43:07.458637, 30.2,05.1136,0.54130,02.7660
2026-07-08T16:43:08.468294, 31.2,05.1125,0.52264,02.6706
2026-07-08T16:43:09.471040, 32.2,05.1148,0.54237,02.7715
2026-07-08T16:43:10.476562, 33.2,05.1106,0.53870,02.7527
2026-07-08T16:43:11.482441, 34.2,05.1116,0.60061,03.0691
2026-07-08T16:43:12.486638, 35.2,05.1126,0.56260,02.8748
2026-07-08T16:43:13.496668, 36.3,05.1082,0.57945,02.9551
2026-07-08T16:43:14.497425, 37.3,05.1141,0.55775,02.8501
2026-07-08T16:43:15.504296, 38.3,05.1126,0.63792,03.2597
2026-07-08T16:43:16.514523, 39.3,05.1170,0.63805,03.2604
2026-07-08T16:43:17.524390, 40.3,05.1117,0.64078,03.2743
2026-07-08T16:43:18.533658, 41.3,05.1101,0.69785,03.5660
2026-07-08T16:43:19.536186, 42.3,05.1128,0.63949,03.2677
2026-07-08T16:43:20.544599, 43.3,05.1126,0.49869,02.5483
2026-07-08T16:43:21.550564, 44.3,05.1105,0.59144,03.0222
2026-07-08T16:43:22.555160, 45.3,05.1151,0.57512,02.9388
2026-07-08T16:43:23.562344, 46.3,05.1136,0.87931,04.4932
2026-07-08T16:43:24.562820, 47.3,05.1106,0.63805,03.2604
2026-07-08T16:43:25.572949, 48.3,05.1050,0.79449,04.0518
2026-07-08T16:43:26.582394, 49.3,05.1112,0.64016,03.2712
2026-07-08T16:43:27.591877, 50.4,05.1109,0.67066,03.4270
2026-07-08T16:43:28.600302, 51.4,05.1158,0.59577,03.0443
2026-07-08T16:43:29.610084, 52.4,05.1151,0.49895,02.5496
2026-07-08T16:43:30.613282, 53.4,05.1039,0.60056,03.0628
2026-07-08T16:43:31.619083, 54.4,05.1123,0.57218,02.9238
2026-07-08T16:43:32.624086, 55.4,05.1041,0.59532,03.0361
2026-07-08T16:43:33.629297, 56.4,05.1120,0.63988,03.2697
2026-07-08T16:43:34.638114, 57.4,05.1097,0.69461,03.5425
2026-07-08T16:43:35.643190, 58.4,05.1142,0.69084,03.5301
2026-07-08T16:43:36.648858, 59.4,05.1116,0.64240,03.2826
2026-07-08T16:43:37.654382, 60.4,05.1047,0.73413,03.7440
2026-07-08T16:43:38.655793, 61.4,05.1117,0.55871,02.8550
2026-07-08T16:43:39.665717, 62.4,05.1047,0.60811,03.1013
2026-07-08T16:43:40.668776, 63.4,05.1105,0.51956,02.6549
2026-07-08T16:43:41.677769, 64.4,05.1028,0.58998,03.0088
2026-07-08T16:43:42.687782, 65.5,05.1148,0.64301,03.2857
2026-07-08T16:43:43.689120, 66.5,05.1001,0.78696,04.0134
2026-07-08T16:43:44.691742, 67.5,05.1150,0.63899,03.2652
2026-07-08T16:43:45.693790, 68.5,05.1051,0.65109,03.3205
2026-07-08T16:43:46.700552, 69.5,05.1173,0.63606,03.2502
2026-07-08T16:43:47.708435, 70.5,05.1026,0.49745,02.5369
2026-07-08T16:43:48.715086, 71.5,05.1081,0.60409,03.0808
2026-07-08T16:43:49.723048, 72.5,05.1120,0.57322,02.9291
2026-07-08T16:43:50.723172, 73.5,05.1036,0.61137,03.1179
2026-07-08T16:43:51.732201, 74.5,05.1089,0.51202,02.6113
2026-07-08T16:43:52.737664, 75.5,05.1020,0.54492,02.7790
2026-07-08T16:43:53.745932, 76.5,05.1072,0.53332,02.7199
2026-07-08T16:43:54.750726, 77.5,05.1136,0.53088,02.7127
2026-07-08T16:43:55.756355, 78.5,05.1059,0.73685,03.7579
2026-07-08T16:43:56.766331, 79.5,05.1153,0.63375,03.2384
2026-07-08T16:43:57.769794, 80.5,05.1101,0.69973,03.5756
2026-07-08T16:43:58.774405, 81.5,05.1136,0.63490,03.2443
2026-07-08T16:43:59.784472, 82.5,05.1153,0.63747,03.2574
2026-07-08T16:44:00.791703, 83.6,05.1023,0.57980,02.9569
2026-07-08T16:44:01.794111, 84.6,05.1101,0.51442,02.6286
2026-07-08T16:44:02.795659, 85.6,05.1014,0.63990,03.2634
2026-07-08T16:44:03.798640, 86.6,05.1150,0.78067,03.9892
2026-07-08T16:44:04.807553, 87.6,05.1113,0.63791,03.2597
2026-07-08T16:44:05.810501, 88.6,05.1048,0.68510,03.4940
2026-07-08T16:44:06.814737, 89.6,05.1166,1.05317,05.3816
2026-07-08T16:44:07.816627, 90.6,05.1026,0.54433,02.7760
2026-07-08T16:44:08.826620, 91.6,05.1116,0.53998,02.7592
2026-07-08T16:44:09.835186, 92.6,05.1097,0.49467,02.5228
2026-07-08T16:44:10.837916, 93.6,05.1089,0.67711,03.4532
2026-07-08T16:44:11.847906, 94.6,05.1134,0.54127,02.7658
2026-07-08T16:44:12.852146, 95.6,05.1055,0.61530,03.1380
2026-07-08T16:44:13.859259, 96.6,05.1123,0.52199,02.6673
2026-07-08T16:44:14.866400, 97.6,05.1083,0.53884,02.7480
2026-07-08T16:44:15.876470, 98.6,05.1062,0.56157,02.8640
2026-07-08T16:44:16.885032, 99.6,05.1100,0.80610,04.1191
2026-07-08T16:44:17.887313,100.7,05.1012,0.74334,03.7910
2026-07-08T16:44:18.897340,101.7,05.1151,0.65611,03.3527
