timestamp,temperature
2026-07-13T20:03:27.502173,60.6
2026-07-13T20:03:28.503212,60.6
2026-07-13T20:03:29.504133,60.6
2026-07-13T20:03:30.505343,59.5
2026-07-13T20:03:31.506607,58.4
2026-07-13T20:03:32.507990,62.8
2026-07-13T20:03:33.508953,64.45
2026-07-13T20:03:34.509878,63.35
2026-07-13T20:03:35.510873,62.8
2026-07-13T20:03:36.511852,62.25
2026-07-13T20:03:37.514032,61.15
2026-07-13T20:03:38.515388,61.15
2026-07-13T20:03:39.518372,63.35
2026-07-13T20:03:40.519873,67.75
2026-07-13T20:03:41.521219,68.3
2026-07-13T20:03:42.522374,68.3
2026-07-13T20:03:43.524688,66.1
2026-07-13T20:03:44.525780,65.0
2026-07-13T20:03:45.526775,64.45
2026-07-13T20:03:46.527793,64.45
2026-07-13T20:03:47.528712,64.45
2026-07-13T20:03:48.529721,62.25
2026-07-13T20:03:49.530998,62.25
2026-07-13T20:03:50.532282,61.7
2026-07-13T20:03:51.533588,61.7
2026-07-13T20:03:52.534880,61.15
2026-07-13T20:03:53.536165,60.6
2026-07-13T20:03:54.537691,60.6
2026-07-13T20:03:55.539106,61.15
2026-07-13T20:03:56.540445,60.6
2026-07-13T20:03:57.543094,60.6
2026-07-13T20:03:58.544993,59.5
2026-07-13T20:03:59.546415,60.6
2026-07-13T20:04:00.547380,62.8
2026-07-13T20:04:01.548315,62.25
2026-07-13T20:04:02.549299,61.7
2026-07-13T20:04:03.550259,62.25
2026-07-13T20:04:04.551262,61.7
2026-07-13T20:04:05.552517,61.15
2026-07-13T20:04:06.553838,60.6
2026-07-13T20:04:07.555202,61.15
2026-07-13T20:04:08.557107,66.1
2026-07-13T20:04:09.558491,68.85
2026-07-13T20:04:10.559765,65.55
2026-07-13T20:04:11.560740,65.0
2026-07-13T20:04:12.562315,64.45
2026-07-13T20:04:13.563621,63.35
2026-07-13T20:04:14.564874,62.8
2026-07-13T20:04:15.566131,61.7
2026-07-13T20:04:16.567373,61.7
2026-07-13T20:04:17.570409,61.15
2026-07-13T20:04:18.571600,64.45
2026-07-13T20:04:19.572620,63.9
2026-07-13T20:04:20.573563,63.35
2026-07-13T20:04:21.574544,62.25
2026-07-13T20:04:22.575537,62.8
2026-07-13T20:04:23.576832,62.25
2026-07-13T20:04:24.578096,62.25
2026-07-13T20:04:25.579492,61.7
2026-07-13T20:04:26.580768,61.7
2026-07-13T20:04:27.581809,63.9
2026-07-13T20:04:28.582772,63.35
2026-07-13T20:04:29.583791,63.35
2026-07-13T20:04:30.584767,62.8
2026-07-13T20:04:31.585747,62.8
2026-07-13T20:04:32.586932,61.7
2026-07-13T20:04:33.587940,64.45
2026-07-13T20:04:34.588964,63.35
2026-07-13T20:04:35.589949,63.35
2026-07-13T20:04:36.590921,62.8
2026-07-13T20:04:37.591847,62.25
2026-07-13T20:04:38.593135,62.25
2026-07-13T20:04:39.594530,62.25
2026-07-13T20:04:40.595563,64.45
2026-07-13T20:04:41.596539,63.35
2026-07-13T20:04:42.597597,63.35
2026-07-13T20:04:43.598518,63.35
2026-07-13T20:04:44.599536,63.35
2026-07-13T20:04:45.600823,62.25
2026-07-13T20:04:46.601876,63.35
