Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T17:29:38.314267, 88.0,05.1203,0.75206,03.8505
2026-04-29T17:29:39.329290, 89.0,05.1109,0.65763,03.3604
2026-04-29T17:29:40.297713, 90.0,05.1030,1.03692,05.2882
2026-04-29T17:29:41.315380, 91.0,05.1006,1.01720,05.1877
2026-04-29T17:29:42.287209, 92.0,05.1099,1.19893,06.1145
2026-04-29T17:29:43.306178, 93.0,05.1125,1.20149,06.1396
2026-04-29T17:29:44.325799, 94.0,05.0994,1.15908,05.8997
2026-04-29T17:29:45.300097, 95.0,05.0991,1.15099,05.8585
2026-04-29T17:29:46.317237, 96.0,05.1150,1.10287,05.6356
2026-04-29T17:29:47.290795, 97.0,05.1105,1.15205,05.8869
2026-04-29T17:29:48.309632, 98.0,05.0972,1.19252,06.0699
2026-04-29T17:29:49.328367, 99.0,05.1131,1.13881,05.8193
2026-04-29T17:29:50.301650,100.0,05.1019,1.36169,06.9446
2026-04-29T17:29:51.320631,101.0,05.1125,0.94753,04.8418
2026-04-29T17:29:52.291886,102.0,05.1107,0.78736,04.0234
2026-04-29T17:29:53.309427,103.0,05.1162,1.11022,05.6732
2026-04-29T17:29:54.326862,104.0,05.1076,1.11416,05.6822
2026-04-29T17:29:55.302107,105.0,05.1092,0.95326,04.8616
2026-04-29T17:29:56.322171,106.0,05.1134,1.15425,05.8982
2026-04-29T17:29:57.296345,107.0,05.1169,1.33942,06.8444
2026-04-29T17:29:58.313219,108.0,05.1159,1.21855,06.2267
2026-04-29T17:29:59.332153,109.0,05.0992,1.21246,06.1714
2026-04-29T17:30:00.305898,110.0,05.1053,1.01534,05.1782
2026-04-29T17:30:01.325255,111.0,05.1039,1.01454,05.1741
2026-04-29T17:30:02.297406,112.0,05.1008,1.03868,05.2972
2026-04-29T17:30:03.315903,113.0,05.1214,1.04390,05.3447
2026-04-29T17:30:04.290648,114.0,05.1180,0.90560,04.6276
2026-04-29T17:30:05.304609,115.0,05.1102,0.75478,03.8569
2026-04-29T17:30:06.320898,116.0,05.1044,1.15702,05.9008
2026-04-29T17:30:07.293575,117.0,05.1167,1.07157,05.4757
2026-04-29T17:30:08.309650,118.0,05.1012,1.15354,05.8830
2026-04-29T17:30:09.328558,119.0,05.1033,1.09362,05.5774
2026-04-29T17:30:10.300802,120.0,05.1136,1.04102,05.3196
2026-04-29T17:30:11.320142,121.0,05.1014,1.11243,05.6733
2026-04-29T17:30:12.336673,122.0,05.1095,1.12033,05.7136
2026-04-29T17:30:13.310480,123.0,05.1100,1.06780,05.4564
2026-04-29T17:30:14.329520,124.0,05.1087,1.32665,06.7659
2026-04-29T17:30:15.304397,125.0,05.1141,1.14406,05.8461
2026-04-29T17:30:16.322912,126.0,05.1128,1.13216,05.7853
2026-04-29T17:30:17.295926,127.0,05.1136,0.77497,03.9600
2026-04-29T17:30:18.315104,128.0,05.1088,0.77388,03.9467
2026-04-29T17:30:19.335975,129.0,05.1044,1.12575,05.7413
2026-04-29T17:30:20.313715,130.0,05.1114,1.23793,06.3258
2026-04-29T17:30:21.334954,131.0,05.0966,0.98732,05.0254
2026-04-29T17:30:22.310419,132.0,05.1088,1.01921,05.1979
2026-04-29T17:30:23.329339,133.0,05.0939,1.12195,05.7107
2026-04-29T17:30:24.303746,134.0,05.1130,1.06324,05.4331
