Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-07-08T17:11:58.303247,  0.0,05.1105,0.47502,02.4273
2026-07-08T17:11:59.306640,  1.0,05.1106,0.47467,02.4255
2026-07-08T17:12:00.313833,  2.0,05.1105,0.54000,02.7594
2026-07-08T17:12:01.321727,  3.0,05.1099,0.82307,04.1976
2026-07-08T17:12:02.328503,  4.0,05.1096,0.82447,04.2047
2026-07-08T17:12:03.330677,  5.0,05.1214,0.63898,03.2715
2026-07-08T17:12:04.340474,  6.0,05.1172,0.70229,03.5887
2026-07-08T17:12:05.346488,  7.0,05.1189,0.63698,03.2549
2026-07-08T17:12:06.350428,  8.0,05.1120,0.62368,03.1870
2026-07-08T17:12:07.351933,  9.0,05.1134,0.62418,03.1895
2026-07-08T17:12:08.353552, 10.1,05.1058,1.01679,05.1856
2026-07-08T17:12:09.354718, 11.1,05.1126,0.79214,04.0478
2026-07-08T17:12:10.355196, 12.1,05.1041,0.64503,03.2896
2026-07-08T17:12:11.365195, 13.1,05.1167,0.64721,03.3072
2026-07-08T17:12:12.374649, 14.1,05.1111,0.52354,02.6752
2026-07-08T17:12:13.383422, 15.1,05.1070,0.62494,03.1871
2026-07-08T17:12:14.388960, 16.1,05.1101,0.56325,02.8782
2026-07-08T17:12:15.396928, 17.1,05.1103,1.00178,05.1190
2026-07-08T17:12:16.406894, 18.1,05.1106,0.64853,03.3139
2026-07-08T17:12:17.416385, 19.1,05.1056,1.03315,05.2690
2026-07-08T17:12:18.423313, 20.1,05.1101,0.64619,03.3020
2026-07-08T17:12:19.430511, 21.1,05.1066,0.65629,03.3470
2026-07-08T17:12:20.431677, 22.1,05.1083,0.63506,03.2388
2026-07-08T17:12:21.434084, 23.1,05.1070,0.55056,02.8078
2026-07-08T17:12:22.440410, 24.1,05.1062,0.58491,02.9830
2026-07-08T17:12:23.447402, 25.1,05.1047,0.57783,02.9469
2026-07-08T17:12:24.451828, 26.1,05.1109,0.60444,03.0886
2026-07-08T17:12:25.461776, 27.2,05.1109,0.54167,02.7679
2026-07-08T17:12:26.472034, 28.2,05.1098,0.58194,02.9678
2026-07-08T17:12:27.474095, 29.2,05.1134,0.53338,02.7255
2026-07-08T17:12:28.481124, 30.2,05.1134,0.52951,02.7057
2026-07-08T17:12:29.490997, 31.2,05.1158,0.61582,03.1468
2026-07-08T17:12:30.497458, 32.2,05.1095,0.53393,02.7230
2026-07-08T17:12:31.505313, 33.2,05.1169,0.54602,02.7901
2026-07-08T17:12:32.507602, 34.2,05.1106,0.58293,02.9787
2026-07-08T17:12:33.517379, 35.2,05.1162,0.56474,02.8858
2026-07-08T17:12:34.527194, 36.2,05.1081,0.57788,02.9471
2026-07-08T17:12:35.536450, 37.2,05.1095,0.60155,03.0679
2026-07-08T17:12:36.546195, 38.2,05.1098,0.63587,03.2429
2026-07-08T17:12:37.556378, 39.3,05.1112,0.65493,03.3466
2026-07-08T17:12:38.558246, 40.3,05.1120,0.70017,03.5778
2026-07-08T17:12:39.567567, 41.3,05.1047,0.78031,03.9795
2026-07-08T17:12:40.572372, 42.3,05.1177,0.64089,03.2749
2026-07-08T17:12:41.582575, 43.3,05.1092,0.55289,02.8197
2026-07-08T17:12:42.583467, 44.3,05.1117,0.54964,02.8086
2026-07-08T17:12:43.593512, 45.3,05.1111,0.63511,03.2454
2026-07-08T17:12:44.603752, 46.3,05.1058,1.09789,05.5992
2026-07-08T17:12:45.604010, 47.3,05.1130,0.64256,03.2834
2026-07-08T17:12:46.603978, 48.3,05.1061,0.64058,03.2669
2026-07-08T17:12:47.608017, 49.3,05.1028,0.75237,03.8370
2026-07-08T17:12:48.609074, 50.3,05.1034,0.68746,03.5060
2026-07-08T17:12:49.617200, 51.3,05.1053,0.64771,03.3033
2026-07-08T17:12:50.617732, 52.3,05.1116,0.55717,02.8471
2026-07-08T17:12:51.627486, 53.3,05.1086,0.55478,02.8293
2026-07-08T17:12:52.637712, 54.3,05.1128,0.61861,03.1610
2026-07-08T17:12:53.648085, 55.3,05.1084,0.53611,02.7341
2026-07-08T17:12:54.654877, 56.4,05.1051,0.77941,03.9749
2026-07-08T17:12:55.661663, 57.4,05.1019,0.68277,03.4821
2026-07-08T17:12:56.662048, 58.4,05.1051,0.78760,04.0167
2026-07-08T17:12:57.664291, 59.4,05.1005,0.63995,03.2637
2026-07-08T17:12:58.674290, 60.4,05.1045,0.77186,03.9364
2026-07-08T17:12:59.674771, 61.4,05.1064,0.56029,02.8574
2026-07-08T17:13:00.684553, 62.4,05.1050,0.64283,03.2784
2026-07-08T17:13:01.686954, 63.4,05.1074,0.55598,02.8354
2026-07-08T17:13:02.695776, 64.4,05.1063,0.54286,02.7685
2026-07-08T17:13:03.701967, 65.4,05.1212,0.71477,03.6596
2026-07-08T17:13:04.710215, 66.4,05.1112,0.64989,03.3209
2026-07-08T17:13:05.720177, 67.4,05.1058,0.73830,03.7653
2026-07-08T17:13:06.725557, 68.4,05.1089,0.63876,03.2576
2026-07-08T17:13:07.732606, 69.4,05.1070,0.78014,03.9787
2026-07-08T17:13:08.742692, 70.4,05.1148,0.54262,02.7727
2026-07-08T17:13:09.745447, 71.4,05.1125,0.99642,05.0917
2026-07-08T17:13:10.755005, 72.5,05.1136,0.78287,04.0004
2026-07-08T17:13:11.759124, 73.5,05.1098,0.66294,03.3809
2026-07-08T17:13:12.759779, 74.5,05.1175,0.64859,03.3142
2026-07-08T17:13:13.768060, 75.5,05.1155,0.65473,03.3456
2026-07-08T17:13:14.769151, 76.5,05.1187,0.62708,03.2043
2026-07-08T17:13:15.779221, 77.5,05.1114,0.55869,02.8549
2026-07-08T17:13:16.786200, 78.5,05.1098,0.64354,03.2820
2026-07-08T17:13:17.787059, 79.5,05.1103,0.64473,03.2945
2026-07-08T17:13:18.796011, 80.5,05.1080,0.66409,03.3868
2026-07-08T17:13:19.806120, 81.5,05.1101,0.64144,03.2777
2026-07-08T17:13:20.812206, 82.5,05.1137,0.63928,03.2667
2026-07-08T17:13:21.820697, 83.5,05.1067,0.53456,02.7262
2026-07-08T17:13:22.830680, 84.5,05.1098,0.94627,04.8259
2026-07-08T17:13:23.835692, 85.5,05.1167,0.64234,03.2823
2026-07-08T17:13:24.845686, 86.5,05.1177,0.70618,03.6085
2026-07-08T17:13:25.855088, 87.6,05.1144,0.63751,03.2576
2026-07-08T17:13:26.861987, 88.6,05.1147,0.72575,03.7085
2026-07-08T17:13:27.872039, 89.6,05.1164,0.58365,02.9824
2026-07-08T17:13:28.879401, 90.6,05.1104,0.58962,03.0129
2026-07-08T17:13:29.881176, 91.6,05.1106,0.61872,03.1616
2026-07-08T17:13:30.884573, 92.6,05.1137,0.54025,02.7606
2026-07-08T17:13:31.890773, 93.6,05.1141,0.57321,02.9291
2026-07-08T17:13:32.898973, 94.6,05.1122,0.54100,02.7645
2026-07-08T17:13:33.903090, 95.6,05.1137,0.63124,03.2256
2026-07-08T17:13:34.910889, 96.6,05.1076,0.51355,02.6191
2026-07-08T17:13:35.920554, 97.6,05.1062,0.56349,02.8737
2026-07-08T17:13:36.929498, 98.6,05.1030,0.62682,03.1967
2026-07-08T17:13:37.936406, 99.6,05.1073,1.10351,05.6279
2026-07-08T17:13:38.944703,100.6,05.1005,0.64214,03.2749
2026-07-08T17:13:39.954045,101.7,05.1026,0.77672,03.9612
2026-07-08T17:13:40.954336,102.7,05.1042,0.64000,03.2640
2026-07-08T17:13:41.957312,103.7,05.1116,0.70154,03.5848
2026-07-08T17:13:42.961860,104.7,05.1087,0.64028,03.2654
2026-07-08T17:13:43.970279,105.7,05.1098,0.57445,02.9296
2026-07-08T17:13:44.978881,106.7,05.1194,0.74495,03.8066
2026-07-08T17:13:45.985142,107.7,05.1167,0.67282,03.4381
2026-07-08T17:13:46.995158,108.7,05.1137,0.63841,03.2622
2026-07-08T17:13:48.005397,109.7,05.1192,0.63798,03.2600
2026-07-08T17:13:49.008790,110.7,05.1058,0.64540,03.2915
2026-07-08T17:13:50.017180,111.7,05.1075,0.62753,03.2004
2026-07-08T17:13:51.021216,112.7,05.1100,1.02200,05.2224
2026-07-08T17:13:52.025640,113.7,05.1130,0.77998,03.9856
2026-07-08T17:13:53.030869,114.7,05.1136,0.64266,03.2839
2026-07-08T17:13:54.030766,115.7,05.1136,0.63946,03.2676
2026-07-08T17:13:55.039997,116.7,05.1055,0.73475,03.7472
2026-07-08T17:13:56.040282,117.7,05.1166,0.65598,03.3520
2026-07-08T17:13:57.041538,118.7,05.1156,0.54518,02.7858
2026-07-08T17:13:58.051444,119.8,05.1117,0.63806,03.2604
2026-07-08T17:13:59.059418,120.8,05.1087,0.64360,03.2823
2026-07-08T17:14:00.069007,121.8,05.1047,1.13410,05.7839
2026-07-08T17:14:01.072596,122.8,05.1122,1.08616,05.5502
2026-07-08T17:14:02.073241,123.8,05.1126,0.66301,03.3879
2026-07-08T17:14:03.083184,124.8,05.1064,0.64158,03.2720
2026-07-08T17:14:04.084552,125.8,05.1036,0.62888,03.2072
2026-07-08T17:14:05.085338,126.8,05.1098,0.78492,04.0030
