condition,fps,passage_id,n_capture_events,n_unique_source_frames,n_human_suited_capture_events,n_available_human_suited_source_frames,n_captured_unique_human_suited_source_frames,unique_gt_suited_retention,gt_opportunity_exists,selector_data_available,selector_event_mapping_available,n_classifier_accepted_events,classifier_covered,n_human_suited_events_preserved,gt_suited_opportunity_preserved,coverage_preserved_by_false_positive,coverage_outcome
fixed_fps,1.0,0057,12,12,1,10,1,0.1,True,True,True,2,True,1,True,False,coverage_preserved
fixed_fps,1.0,0059,8,8,0,2,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0059az,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0060az,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0062,15,15,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0063vd,9,9,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0065az,9,9,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0065vd,8,8,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0066az,9,9,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0067vd,9,9,3,30,3,0.1,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,1.0,0068vd,30,30,2,35,2,0.05714285714285714,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0068vds2,26,26,7,81,7,0.08641975308641975,True,True,True,8,True,7,True,False,coverage_preserved
fixed_fps,1.0,0069az,13,13,0,3,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0071az,5,5,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0071vd,6,6,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0074,6,6,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0084az,6,6,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0101,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0116vd,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0117vd,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0118vd,6,6,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0119vd,6,6,1,10,1,0.1,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0120vd,8,8,3,22,3,0.13636363636363635,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0121vd,8,8,2,20,2,0.1,True,True,True,3,True,2,True,False,coverage_preserved
fixed_fps,1.0,0122vd,7,7,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0123vd,5,5,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0124vd,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0125vd,5,5,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0126,9,9,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0127vd,7,7,1,10,1,0.1,True,True,True,2,True,1,True,False,coverage_preserved
fixed_fps,1.0,0128,11,11,1,8,1,0.125,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0128vd,6,6,0,8,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0129az,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0130az,9,9,2,18,2,0.1111111111111111,True,True,True,3,True,2,True,False,coverage_preserved
fixed_fps,1.0,0131az,8,8,3,29,3,0.10344827586206896,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,1.0,0133az,5,5,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0134az,14,14,8,73,8,0.1095890410958904,True,True,True,8,True,8,True,False,coverage_preserved
fixed_fps,1.0,0135az,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0137az,12,12,3,36,3,0.08333333333333333,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,1.0,0138,9,9,0,6,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0138azs2,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0140qz,10,10,5,54,5,0.09259259259259259,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,1.0,0141az,6,6,2,13,2,0.15384615384615385,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,014bmf,7,7,1,12,1,0.08333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0170,8,8,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0183,14,14,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0184,8,8,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0186,7,7,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0188,6,6,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0192,4,4,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0197,8,8,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,01mf,10,10,6,58,6,0.10344827586206896,True,True,True,6,True,6,True,False,coverage_preserved
fixed_fps,1.0,0200,9,9,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0210,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0214,10,10,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0217,10,10,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0219,6,6,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0247,11,11,2,21,2,0.09523809523809523,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0253,9,9,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0262,18,18,1,15,1,0.06666666666666667,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0263,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0275,10,10,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0278,7,7,1,8,1,0.125,True,True,True,2,True,1,True,False,coverage_preserved
fixed_fps,1.0,02mf,7,7,2,19,2,0.10526315789473684,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,03mf,6,6,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0428,7,7,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0438,8,8,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0456,9,9,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0458,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0463,13,13,1,2,1,0.5,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0468,7,7,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0472,11,11,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0473,8,8,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,04mf,4,4,0,6,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0502,7,7,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0502vd,6,6,0,7,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0504,11,11,1,5,1,0.2,True,True,True,2,True,1,True,False,coverage_preserved
fixed_fps,1.0,0505,6,6,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0506vd,7,7,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0507,5,5,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0508,7,7,1,2,1,0.5,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0510,8,8,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0511,5,5,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0515vd,11,11,0,4,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,05mf,6,6,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0605az,10,10,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0606az,17,17,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0607az,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0608az,8,8,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0610az,14,14,2,17,2,0.11764705882352941,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0612az,8,8,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0741,7,7,0,8,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0792,6,6,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0796,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0799,7,7,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0806ro,8,8,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0902br,6,6,0,5,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0903,9,9,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
