Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T18:17:27.871605, 88.0,05.1050,1.23978,06.3228
2026-04-29T18:17:28.894459, 89.0,05.1011,1.52966,07.8012
2026-04-29T18:17:29.870615, 90.0,05.1011,1.01863,05.1950
2026-04-29T18:17:30.893544, 91.0,05.1084,0.76703,03.9118
2026-04-29T18:17:31.870116, 92.0,05.1084,0.76625,03.9078
2026-04-29T18:17:32.892950, 93.0,05.1070,0.74793,03.8144
2026-04-29T18:17:33.872645, 94.0,05.1042,1.01126,05.1574
2026-04-29T18:17:34.896054, 95.0,05.1109,1.12118,05.7292
2026-04-29T18:17:35.871549, 96.0,05.0998,1.13804,05.7926
2026-04-29T18:17:36.893337, 97.0,05.1067,1.02349,05.2197
2026-04-29T18:17:37.868876, 98.0,05.1069,1.05458,05.3783
2026-04-29T18:17:38.891959, 99.0,05.1069,1.11667,05.6950
2026-04-29T18:17:39.868339,100.0,05.1080,1.03148,05.2605
2026-04-29T18:17:40.891633,101.0,05.1077,1.06917,05.4527
2026-04-29T18:17:41.868718,102.0,05.1079,1.06461,05.4295
2026-04-29T18:17:42.891855,103.0,05.1075,1.15739,05.9026
2026-04-29T18:17:43.867663,104.0,05.0994,1.05798,05.3851
2026-04-29T18:17:44.887257,105.0,05.1119,1.18505,06.0556
2026-04-29T18:17:45.861234,106.0,05.1086,0.77224,03.9384
2026-04-29T18:17:46.880262,107.0,05.1081,0.76946,03.9242
2026-04-29T18:17:47.899749,108.0,05.1084,0.76618,03.9075
2026-04-29T18:17:48.875722,109.0,05.1084,1.06128,05.4125
2026-04-29T18:17:49.897502,110.0,05.1020,1.15819,05.9067
2026-04-29T18:17:50.872233,111.0,05.1020,1.04873,05.3485
2026-04-29T18:17:51.891690,112.0,05.1097,1.15273,05.8789
2026-04-29T18:17:52.866517,113.0,05.1017,1.13420,05.7844
2026-04-29T18:17:53.886887,114.0,05.1039,1.07976,05.5067
2026-04-29T18:17:54.864545,115.0,05.1148,1.16487,05.9524
2026-04-29T18:17:55.888384,116.0,05.1062,1.08035,05.5097
2026-04-29T18:17:56.865465,117.0,05.1112,1.09115,05.5757
2026-04-29T18:17:57.887068,118.0,05.1087,1.16024,05.9172
2026-04-29T18:17:58.862548,119.0,05.1062,1.16823,05.9579
2026-04-29T18:17:59.883524,120.0,05.1166,1.30906,06.6892
2026-04-29T18:18:00.906293,121.0,05.1105,0.77200,03.9449
2026-04-29T18:18:01.880584,122.0,05.1084,0.76988,03.9263
2026-04-29T18:18:02.900897,123.0,05.1083,0.76559,03.9045
2026-04-29T18:18:03.876120,124.0,05.1080,0.76289,03.8907
2026-04-29T18:18:04.896944,125.0,05.1076,1.03170,05.2616
2026-04-29T18:18:05.875613,126.0,05.1064,0.99040,05.0510
2026-04-29T18:18:06.898717,127.0,05.1089,1.02968,05.2513
2026-04-29T18:18:07.875228,128.0,05.1039,1.05762,05.3938
2026-04-29T18:18:08.897882,129.0,05.0998,1.29704,06.6019
2026-04-29T18:18:09.873203,130.0,05.1001,1.09096,05.5638
2026-04-29T18:18:10.894492,131.0,05.1064,0.98973,05.0476
2026-04-29T18:18:11.868851,132.0,05.1112,1.10790,05.6613
2026-04-29T18:18:12.890183,133.0,05.1073,1.07802,05.4979
2026-04-29T18:18:13.865895,134.0,05.0975,1.07631,05.4784
2026-04-29T18:18:14.887659,135.0,05.0994,1.40845,07.1690
2026-04-29T18:18:15.910250,136.0,05.1092,1.15818,05.9067
2026-04-29T18:18:16.884872,137.0,05.1066,0.76544,03.9037
2026-04-29T18:18:17.903131,138.0,05.1067,0.76437,03.8982
2026-04-29T18:18:18.877073,139.0,05.1047,0.73827,03.7651
2026-04-29T18:18:19.900292,140.0,05.1044,1.01377,05.1702
2026-04-29T18:18:20.878029,141.0,05.1069,0.99940,05.0969
2026-04-29T18:18:21.901056,142.0,05.1083,0.95510,04.8710
2026-04-29T18:18:22.878809,143.0,05.1071,1.02009,05.2024
2026-04-29T18:18:23.900789,144.0,05.1044,1.01950,05.1994
2026-04-29T18:18:24.876942,145.0,05.1028,1.02070,05.2055
2026-04-29T18:18:25.899156,146.0,05.1071,1.06313,05.4219
2026-04-29T18:18:26.875695,147.0,05.1087,1.09488,05.5838
2026-04-29T18:18:27.901062,148.0,05.1105,1.12789,05.7635
2026-04-29T18:18:28.877133,149.0,05.1105,0.99611,05.0901
2026-04-29T18:18:29.899583,150.0,05.0951,1.83630,09.3467
2026-04-29T18:18:30.878934,151.0,05.0951,1.41724,07.2137
2026-04-29T18:18:31.900808,152.0,05.1076,0.77195,03.9369
2026-04-29T18:18:32.874957,153.0,05.1083,0.76869,03.9203
2026-04-29T18:18:33.895972,154.0,05.1083,0.76497,03.9013
2026-04-29T18:18:34.872944,155.0,05.1117,1.16792,05.9680
2026-04-29T18:18:35.896639,156.0,05.1089,1.12454,05.7351
2026-04-29T18:18:36.878085,157.0,05.1095,1.09948,05.6073
2026-04-29T18:18:37.902346,158.0,05.0981,1.09557,05.5764
2026-04-29T18:18:38.878713,159.0,05.1070,1.07693,05.4923
2026-04-29T18:18:39.903671,160.0,05.1101,1.08334,05.5358
2026-04-29T18:18:40.880854,161.0,05.1098,1.07365,05.4756
2026-04-29T18:18:41.904814,162.0,05.1009,1.04380,05.3233
2026-04-29T18:18:42.880979,163.0,05.1108,1.08823,05.5608
2026-04-29T18:18:43.904594,164.0,05.1073,1.08944,05.5561
2026-04-29T18:18:44.883680,165.0,05.0958,1.17114,05.9611
2026-04-29T18:18:45.905477,166.0,05.1097,1.41214,07.2019
2026-04-29T18:18:46.879955,167.0,05.1019,0.77572,03.9561
2026-04-29T18:18:47.898597,168.0,05.1069,0.77251,03.9398
2026-04-29T18:18:48.871912,169.0,05.1063,0.76058,03.8789
2026-04-29T18:18:49.889872,170.0,05.1077,0.76003,03.8761
2026-04-29T18:18:50.911751,171.0,05.0958,1.07920,05.4931
2026-04-29T18:18:51.887802,172.0,05.1064,1.00826,05.1421
2026-04-29T18:18:52.910557,173.0,05.1003,1.07319,05.4732
2026-04-29T18:18:53.888418,174.0,05.1044,1.07291,05.4718
2026-04-29T18:18:54.913693,175.0,05.0984,1.31499,06.6932
2026-04-29T18:18:55.891258,176.0,05.0978,1.28279,06.5294
2026-04-29T18:18:56.914056,177.0,05.1105,1.05192,05.3753
2026-04-29T18:18:57.889166,178.0,05.1016,1.06358,05.4242
2026-04-29T18:18:58.912280,179.0,05.1094,1.13468,05.7868
2026-04-29T18:18:59.890081,180.0,05.0931,1.44542,07.3571
2026-04-29T18:19:00.911994,181.0,05.0976,1.47712,07.5185
2026-04-29T18:19:01.888071,182.0,05.0992,1.18467,06.0299
2026-04-29T18:19:02.909514,183.0,05.1069,0.76567,03.9049
2026-04-29T18:19:03.882638,184.0,05.1063,0.76541,03.9035
2026-04-29T18:19:04.902986,185.0,05.1066,0.76411,03.8969
2026-04-29T18:19:05.876825,186.0,05.1122,1.00575,05.1393
2026-04-29T18:19:06.899636,187.0,05.1067,1.09643,05.5917
2026-04-29T18:19:07.875500,188.0,05.1097,0.99848,05.0922
2026-04-29T18:19:08.903215,189.0,05.1044,1.04556,05.3323
2026-04-29T18:19:09.880372,190.0,05.1000,1.12449,05.7348
2026-04-29T18:19:10.903975,191.0,05.1101,1.06185,05.4260
2026-04-29T18:19:11.878412,192.0,05.1064,1.22110,06.2276
2026-04-29T18:19:12.901773,193.0,05.1098,1.11396,05.6811
2026-04-29T18:19:13.877843,194.0,05.1044,1.03988,05.3033
2026-04-29T18:19:14.901379,195.0,05.1020,1.00867,05.1442
2026-04-29T18:19:15.876648,196.0,05.1081,1.30944,06.6781
2026-04-29T18:19:16.898412,197.0,05.1122,1.26854,06.4822
2026-04-29T18:19:17.917215,198.0,05.1078,0.76720,03.9127
2026-04-29T18:19:18.888987,199.0,05.1085,0.76598,03.9064
2026-04-29T18:19:19.907808,200.0,05.1079,0.76231,03.8877
2026-04-29T18:19:20.881665,201.0,05.0992,1.08984,05.5472
2026-04-29T18:19:21.902419,202.0,05.1087,1.10151,05.6177
2026-04-29T18:19:22.923227,203.0,05.1181,1.19622,06.1126
2026-04-29T18:19:23.897224,204.0,05.1105,1.45643,07.4423
2026-04-29T18:19:24.917477,205.0,05.0978,1.18692,06.0414
2026-04-29T18:19:25.892626,206.0,05.1084,1.34465,06.8577
2026-04-29T18:19:26.916447,207.0,05.1137,1.15018,05.8774
2026-04-29T18:19:27.892444,208.0,05.1094,1.12001,05.7120
2026-04-29T18:19:28.916840,209.0,05.1041,1.04916,05.3507
2026-04-29T18:19:29.896062,210.0,05.1095,1.14672,05.8482
2026-04-29T18:19:30.921401,211.0,05.1128,1.07608,05.4987
2026-04-29T18:19:31.898244,212.0,05.1284,1.40098,07.1730
2026-04-29T18:19:32.920528,213.0,05.1087,0.75420,03.8464
2026-04-29T18:19:33.893971,214.0,05.1079,0.75132,03.8317
2026-04-29T18:19:34.917735,215.0,05.1078,0.74605,03.8048
2026-04-29T18:19:35.895148,216.0,05.1077,0.80148,04.0875
2026-04-29T18:19:36.920699,217.0,05.0992,1.00833,05.1323
2026-04-29T18:19:37.898993,218.0,05.1101,1.00143,05.1173
2026-04-29T18:19:38.921881,219.0,05.1098,1.28324,06.5445
2026-04-29T18:19:39.897517,220.0,05.1083,1.27977,06.5268
2026-04-29T18:19:40.918490,221.0,05.1083,1.32079,06.7360
2026-04-29T18:19:41.898226,222.0,05.1081,1.20274,06.1339
2026-04-29T18:19:42.920435,223.0,05.1106,1.05277,05.3796
2026-04-29T18:19:43.898083,224.0,05.0925,1.43705,07.3145
2026-04-29T18:19:44.922000,225.0,05.0903,1.27609,06.4952
2026-04-29T18:19:45.897061,226.0,05.1103,1.12476,05.7475
2026-04-29T18:19:46.918363,227.0,05.1020,1.54563,07.8827
2026-04-29T18:19:47.896043,228.0,05.1122,1.22956,06.2830
2026-04-29T18:19:48.919530,229.0,05.1085,0.77210,03.9377
