Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-07-08T20:06:35.718887,  0.0,05.1092,0.48038,02.4499
2026-07-08T20:06:36.721429,  1.0,05.1093,0.48058,02.4509
2026-07-08T20:06:37.726161,  2.0,05.1090,0.64313,03.2799
2026-07-08T20:06:38.730393,  3.0,05.1088,0.85424,04.3566
2026-07-08T20:06:39.734257,  4.0,05.1083,0.85501,04.3605
2026-07-08T20:06:40.738348,  5.0,05.1092,0.64389,03.2838
2026-07-08T20:06:41.740908,  6.0,05.0998,0.64698,03.2931
2026-07-08T20:06:42.742715,  7.0,05.1095,0.64648,03.2970
2026-07-08T20:06:43.747861,  8.0,05.1086,0.54234,02.7659
2026-07-08T20:06:44.749806,  9.0,05.1088,0.53264,02.7164
2026-07-08T20:06:45.755015, 10.0,05.1093,0.64560,03.2925
2026-07-08T20:06:46.759891, 11.0,05.1189,0.64522,03.2970
2026-07-08T20:06:47.763713, 12.0,05.1094,0.64526,03.2908
2026-07-08T20:06:48.766478, 13.0,05.1158,0.64577,03.2998
2026-07-08T20:06:49.771354, 14.1,05.1100,0.64205,03.2808
2026-07-08T20:06:50.776228, 15.1,05.1061,0.50216,02.5610
2026-07-08T20:06:51.780143, 16.1,05.1087,0.52823,02.6939
2026-07-08T20:06:52.782134, 17.1,05.1019,0.52982,02.7020
2026-07-08T20:06:53.787172, 18.1,05.1156,0.64191,03.2801
2026-07-08T20:06:54.791754, 19.1,05.1098,0.64411,03.2849
2026-07-08T20:06:55.796769, 20.1,05.1145,0.82789,04.2305
2026-07-08T20:06:56.801862, 21.1,05.1093,0.64892,03.3094
2026-07-08T20:06:57.804616, 22.1,05.1150,0.64768,03.3096
2026-07-08T20:06:58.807061, 23.1,05.1091,0.51487,02.6258
2026-07-08T20:06:59.810445, 24.1,05.1089,0.52242,02.6643
2026-07-08T20:07:00.815537, 25.1,05.1128,0.50341,02.5724
2026-07-08T20:07:01.820262, 26.1,05.1098,0.49995,02.5497
2026-07-08T20:07:02.821245, 27.1,05.1137,0.49865,02.5481
2026-07-08T20:07:03.824154, 28.1,05.1097,0.54202,02.7643
2026-07-08T20:07:04.824683, 29.1,05.1116,0.50793,02.5955
2026-07-08T20:07:05.831553, 30.1,05.1116,0.53058,02.7112
2026-07-08T20:07:06.834669, 31.1,05.1097,0.49695,02.5344
2026-07-08T20:07:07.840130, 32.1,05.1142,0.50725,02.5920
2026-07-08T20:07:08.842444, 33.1,05.1095,0.49726,02.5360
2026-07-08T20:07:09.846597, 34.1,05.1100,0.49889,02.5493
2026-07-08T20:07:10.847933, 35.1,05.1099,0.51288,02.6156
2026-07-08T20:07:11.851773, 36.1,05.1075,0.49849,02.5422
2026-07-08T20:07:12.851871, 37.1,05.1128,0.49642,02.5367
2026-07-08T20:07:13.853060, 38.1,05.1097,0.50620,02.5816
2026-07-08T20:07:14.853659, 39.1,05.1142,0.49790,02.5442
2026-07-08T20:07:15.859896, 40.1,05.1106,0.49817,02.5456
2026-07-08T20:07:16.863797, 41.1,05.1141,0.49485,02.5286
2026-07-08T20:07:17.868825, 42.1,05.1095,0.57448,02.9298
2026-07-08T20:07:18.872571, 43.2,05.1098,0.49698,02.5345
2026-07-08T20:07:19.877504, 44.2,05.1097,0.52233,02.6638
2026-07-08T20:07:20.881681, 45.2,05.1094,0.49565,02.5278
2026-07-08T20:07:21.886741, 46.2,05.1095,0.49729,02.5361
2026-07-08T20:07:22.891192, 47.2,05.1103,0.49488,02.5288
2026-07-08T20:07:23.892043, 48.2,05.1131,0.63924,03.2665
2026-07-08T20:07:24.896795, 49.2,05.1086,0.63964,03.2621
2026-07-08T20:07:25.898650, 50.2,05.1094,0.64010,03.2645
2026-07-08T20:07:26.903197, 51.2,05.1091,0.63742,03.2508
2026-07-08T20:07:27.904355, 52.2,05.1095,0.63632,03.2452
2026-07-08T20:07:28.908093, 53.2,05.1106,0.49643,02.5367
2026-07-08T20:07:29.913035, 54.2,05.1092,0.49433,02.5210
2026-07-08T20:07:30.918064, 55.2,05.1095,0.49353,02.5170
2026-07-08T20:07:31.922923, 56.2,05.1109,0.50331,02.5719
2026-07-08T20:07:32.925831, 57.2,05.1094,0.51919,02.6478
2026-07-08T20:07:33.930009, 58.2,05.1100,0.50327,02.5717
2026-07-08T20:07:34.932483, 59.2,05.1114,0.56976,02.9114
2026-07-08T20:07:35.938005, 60.2,05.1117,0.50960,02.6040
2026-07-08T20:07:36.940895, 61.2,05.1098,0.49525,02.5257
2026-07-08T20:07:37.941717, 62.2,05.1094,0.49258,02.5121
2026-07-08T20:07:38.942302, 63.2,05.1091,0.56095,02.8608
2026-07-08T20:07:39.947387, 64.2,05.1087,0.57291,02.9218
2026-07-08T20:07:40.951044, 65.2,05.1095,0.50051,02.5526
2026-07-08T20:07:41.955651, 66.2,05.1093,0.49439,02.5213
2026-07-08T20:07:42.960693, 67.2,05.1092,0.49534,02.5262
