timestamp,temperature
2026-06-18T12:05:14.109371,57.85
2026-06-18T12:05:15.110809,55.65
2026-06-18T12:05:16.111653,56.2
2026-06-18T12:05:17.112612,57.85
2026-06-18T12:05:18.113561,57.85
2026-06-18T12:05:19.114531,58.4
2026-06-18T12:05:20.115492,58.4
2026-06-18T12:05:21.120501,58.95
2026-06-18T12:05:22.121955,57.85
2026-06-18T12:05:23.123410,57.3
2026-06-18T12:05:24.140336,61.7
2026-06-18T12:05:25.146093,62.25
2026-06-18T12:05:26.147092,60.6
2026-06-18T12:05:27.148098,60.6
2026-06-18T12:05:28.152636,61.15
2026-06-18T12:05:29.154191,59.5
2026-06-18T12:05:30.157207,59.5
2026-06-18T12:05:31.158970,58.95
2026-06-18T12:05:32.162257,58.95
2026-06-18T12:05:33.163618,58.4
2026-06-18T12:05:34.164871,58.95
2026-06-18T12:05:35.166118,58.95
2026-06-18T12:05:36.167366,57.85
2026-06-18T12:05:37.168628,57.85
2026-06-18T12:05:38.169862,56.75
2026-06-18T12:05:39.171178,57.85
2026-06-18T12:05:40.184939,59.5
2026-06-18T12:05:41.186613,63.9
2026-06-18T12:05:42.189126,65.55
2026-06-18T12:05:43.191182,67.2
2026-06-18T12:05:44.192305,64.45
2026-06-18T12:05:45.193274,62.8
2026-06-18T12:05:46.194246,62.8
2026-06-18T12:05:47.195194,62.8
2026-06-18T12:05:48.196138,62.8
2026-06-18T12:05:49.197097,62.25
2026-06-18T12:05:50.198378,61.15
2026-06-18T12:05:51.199787,61.15
2026-06-18T12:05:52.200982,61.7
2026-06-18T12:05:53.202805,61.15
2026-06-18T12:05:54.204009,60.6
2026-06-18T12:05:55.205874,61.15
2026-06-18T12:05:56.207061,61.7
2026-06-18T12:05:57.208197,61.15
2026-06-18T12:05:58.209436,60.05
2026-06-18T12:05:59.210685,60.05
2026-06-18T12:06:00.211920,60.05
2026-06-18T12:06:01.213187,59.5
2026-06-18T12:06:02.218700,63.35
2026-06-18T12:06:03.220195,63.9
2026-06-18T12:06:04.221531,67.75
2026-06-18T12:06:05.222586,64.45
2026-06-18T12:06:06.223553,62.8
2026-06-18T12:06:07.224487,63.9
2026-06-18T12:06:08.225466,62.8
2026-06-18T12:06:09.226410,61.7
2026-06-18T12:06:10.230929,63.9
2026-06-18T12:06:11.232183,64.45
2026-06-18T12:06:12.233503,63.35
2026-06-18T12:06:13.234899,61.7
2026-06-18T12:06:14.236346,62.25
2026-06-18T12:06:15.238596,60.6
2026-06-18T12:06:16.241573,61.15
2026-06-18T12:06:17.243900,59.5
2026-06-18T12:06:18.437231,61.15
2026-06-18T12:06:19.438206,60.6
2026-06-18T12:06:20.439461,66.65
2026-06-18T12:06:21.440464,61.7
2026-06-18T12:06:22.441484,61.15
