timestamp,temperature
2026-06-18T17:31:50.364222,51.25
2026-06-18T17:31:51.365203,50.15
2026-06-18T17:31:52.366482,48.5
2026-06-18T17:31:53.367532,50.7
2026-06-18T17:31:54.368496,50.15
2026-06-18T17:31:55.369458,50.15
2026-06-18T17:31:56.370411,51.25
2026-06-18T17:31:57.374048,52.35
2026-06-18T17:31:58.375209,51.8
2026-06-18T17:31:59.376270,52.35
2026-06-18T17:32:00.377269,52.35
2026-06-18T17:32:01.378314,51.8
2026-06-18T17:32:02.379328,51.8
2026-06-18T17:32:03.380833,51.25
2026-06-18T17:32:04.382430,50.7
2026-06-18T17:32:05.386516,53.45
2026-06-18T17:32:06.389505,52.35
2026-06-18T17:32:07.390620,56.2
2026-06-18T17:32:08.391574,53.45
2026-06-18T17:32:09.393106,53.45
2026-06-18T17:32:10.396022,52.9
2026-06-18T17:32:11.397546,52.35
2026-06-18T17:32:12.399584,50.7
2026-06-18T17:32:13.402419,51.25
2026-06-18T17:32:14.404454,51.8
2026-06-18T17:32:15.409847,51.25
2026-06-18T17:32:16.411604,50.7
2026-06-18T17:32:17.414164,50.7
2026-06-18T17:32:18.415822,50.7
2026-06-18T17:32:19.419422,50.7
2026-06-18T17:32:20.422603,50.7
2026-06-18T17:32:21.429753,49.6
2026-06-18T17:32:22.431396,50.7
2026-06-18T17:32:23.434008,50.15
2026-06-18T17:32:24.435785,49.6
2026-06-18T17:32:25.437941,50.15
2026-06-18T17:32:26.439963,51.8
2026-06-18T17:32:27.442577,51.8
2026-06-18T17:32:28.444355,52.35
2026-06-18T17:32:29.450125,52.35
2026-06-18T17:32:30.453195,52.35
2026-06-18T17:32:31.456162,50.7
2026-06-18T17:32:32.461396,51.25
2026-06-18T17:32:33.464609,50.15
2026-06-18T17:32:34.466715,54.55
2026-06-18T17:32:35.468361,53.45
2026-06-18T17:32:36.471055,54.0
2026-06-18T17:32:37.474048,53.45
2026-06-18T17:32:38.476964,52.9
2026-06-18T17:32:39.482717,51.25
2026-06-18T17:32:40.487039,51.8
2026-06-18T17:32:41.489860,51.8
2026-06-18T17:32:42.492375,51.8
2026-06-18T17:32:43.494818,51.8
2026-06-18T17:32:44.496645,54.55
2026-06-18T17:32:45.499946,53.45
2026-06-18T17:32:46.503419,52.9
2026-06-18T17:32:47.506138,51.8
2026-06-18T17:32:48.508948,53.45
2026-06-18T17:32:49.515717,51.8
2026-06-18T17:32:50.519246,51.8
2026-06-18T17:32:51.521942,50.7
2026-06-18T17:32:52.530895,51.8
2026-06-18T17:32:53.533538,51.8
2026-06-18T17:32:54.535978,52.9
2026-06-18T17:32:55.538586,53.45
2026-06-18T17:32:56.541787,52.9
2026-06-18T17:32:57.546217,51.8
2026-06-18T17:32:58.547706,52.9
2026-06-18T17:32:59.550629,51.8
2026-06-18T17:33:00.556567,52.9
2026-06-18T17:33:01.559383,51.8
2026-06-18T17:33:02.561965,52.35
2026-06-18T17:33:03.564875,53.45
2026-06-18T17:33:04.568469,53.45
2026-06-18T17:33:05.570910,51.8
2026-06-18T17:33:06.577116,52.35
2026-06-18T17:33:07.581415,53.45
2026-06-18T17:33:08.583577,52.9
2026-06-18T17:33:09.587381,52.35
2026-06-18T17:33:10.590846,52.35
