timestamp,temperature
2026-06-23T18:27:03.959491,52.35
2026-06-23T18:27:04.960510,51.25
2026-06-23T18:27:05.961406,51.8
2026-06-23T18:27:06.962411,50.7
2026-06-23T18:27:07.963441,51.8
2026-06-23T18:27:08.964454,51.25
2026-06-23T18:27:09.965486,51.8
2026-06-23T18:27:10.967598,53.45
2026-06-23T18:27:11.968724,52.35
2026-06-23T18:27:12.969732,51.8
2026-06-23T18:27:13.970743,52.35
2026-06-23T18:27:14.971782,52.9
2026-06-23T18:27:15.973164,52.35
2026-06-23T18:27:16.974633,51.8
2026-06-23T18:27:17.976001,51.8
2026-06-23T18:27:18.979230,54.0
2026-06-23T18:27:19.987828,54.0
2026-06-23T18:27:20.989390,55.1
2026-06-23T18:27:21.990413,53.45
2026-06-23T18:27:22.991508,54.0
2026-06-23T18:27:23.993024,54.0
2026-06-23T18:27:24.994570,52.9
2026-06-23T18:27:25.995854,52.9
2026-06-23T18:27:26.997459,51.25
2026-06-23T18:27:27.999277,51.8
2026-06-23T18:27:29.002968,52.35
2026-06-23T18:27:30.004685,52.35
2026-06-23T18:27:31.008065,51.8
2026-06-23T18:27:32.010598,51.25
2026-06-23T18:27:33.012317,51.8
2026-06-23T18:27:34.015553,51.8
2026-06-23T18:27:35.017235,50.7
2026-06-23T18:27:36.018856,51.25
2026-06-23T18:27:37.020683,51.25
2026-06-23T18:27:38.022534,50.7
2026-06-23T18:27:39.024418,51.25
2026-06-23T18:27:40.025737,51.25
2026-06-23T18:27:41.034478,53.45
2026-06-23T18:27:42.035543,52.35
2026-06-23T18:27:43.036977,53.45
2026-06-23T18:27:44.038664,52.35
2026-06-23T18:27:45.040421,52.35
2026-06-23T18:27:46.042831,52.35
2026-06-23T18:27:47.044600,51.8
2026-06-23T18:27:48.047308,53.45
2026-06-23T18:27:49.048711,55.65
2026-06-23T18:27:50.050088,54.55
2026-06-23T18:27:51.051456,54.55
2026-06-23T18:27:52.053263,54.0
2026-06-23T18:27:53.055615,52.9
2026-06-23T18:27:54.057575,53.45
2026-06-23T18:27:55.060523,52.9
2026-06-23T18:27:56.065172,53.45
2026-06-23T18:27:57.068091,53.45
2026-06-23T18:27:58.070568,51.25
2026-06-23T18:27:59.074072,54.55
2026-06-23T18:28:00.076726,54.0
2026-06-23T18:28:01.078782,54.0
2026-06-23T18:28:02.081919,53.45
2026-06-23T18:28:03.084379,54.0
2026-06-23T18:28:04.089309,52.35
2026-06-23T18:28:05.091667,51.8
2026-06-23T18:28:06.095514,51.25
2026-06-23T18:28:07.097729,53.45
2026-06-23T18:28:08.100725,54.55
2026-06-23T18:28:09.102951,54.0
2026-06-23T18:28:10.105738,54.0
2026-06-23T18:28:11.108980,53.45
2026-06-23T18:28:12.111764,54.55
2026-06-23T18:28:13.114693,53.45
2026-06-23T18:28:14.117787,52.9
2026-06-23T18:28:15.119470,54.0
2026-06-23T18:28:16.124365,55.1
2026-06-23T18:28:17.125711,54.0
2026-06-23T18:28:18.127954,53.45
2026-06-23T18:28:19.129343,54.0
2026-06-23T18:28:20.130905,53.45
2026-06-23T18:28:21.135131,52.9
2026-06-23T18:28:22.136903,54.0
2026-06-23T18:28:23.138577,54.55
2026-06-23T18:28:24.139795,54.55
2026-06-23T18:28:25.140767,52.9
2026-06-23T18:28:26.141734,54.0
2026-06-23T18:28:27.143131,53.45
2026-06-23T18:28:28.144187,55.65
2026-06-23T18:28:29.145164,54.55
2026-06-23T18:28:30.146144,53.45
2026-06-23T18:28:31.147098,54.0
2026-06-23T18:28:32.148054,54.55
2026-06-23T18:28:33.149412,56.75
2026-06-23T18:28:34.150476,56.2
2026-06-23T18:28:35.151464,55.1
2026-06-23T18:28:36.152437,55.65
2026-06-23T18:28:37.153406,55.65
2026-06-23T18:28:38.154387,54.55
2026-06-23T18:28:39.155754,54.55
2026-06-23T18:28:40.157166,54.0
2026-06-23T18:28:41.158501,54.0
2026-06-23T18:28:42.159823,54.55
2026-06-23T18:28:43.160843,56.2
2026-06-23T18:28:44.161874,57.85
2026-06-23T18:28:45.162867,56.75
2026-06-23T18:28:46.163886,56.2
2026-06-23T18:28:47.164900,55.65
2026-06-23T18:28:48.166371,55.65
2026-06-23T18:28:49.167728,55.65
2026-06-23T18:28:50.169169,54.55
2026-06-23T18:28:51.170238,56.2
2026-06-23T18:28:52.171235,56.2
2026-06-23T18:28:53.172230,55.1
2026-06-23T18:28:54.173223,55.65
2026-06-23T18:28:55.174234,55.65
2026-06-23T18:28:56.175541,54.0
2026-06-23T18:28:57.176861,54.55
2026-06-23T18:28:58.177867,56.2
2026-06-23T18:28:59.178891,55.65
2026-06-23T18:29:00.179915,56.2
2026-06-23T18:29:01.180953,55.65
2026-06-23T18:29:02.181967,55.65
2026-06-23T18:29:03.183314,54.55
2026-06-23T18:29:04.184653,55.65
2026-06-23T18:29:05.186514,56.75
2026-06-23T18:29:06.187795,55.65
2026-06-23T18:29:07.188881,56.75
2026-06-23T18:29:08.189958,57.3
2026-06-23T18:29:09.190985,55.65
2026-06-23T18:29:10.192332,56.2
2026-06-23T18:29:11.193711,55.65
2026-06-23T18:29:12.194751,57.3
2026-06-23T18:29:13.195758,56.2
2026-06-23T18:29:14.196742,55.1
2026-06-23T18:29:15.197783,56.75
2026-06-23T18:29:16.198839,56.75
2026-06-23T18:29:17.200247,55.65
2026-06-23T18:29:18.201633,55.65
2026-06-23T18:29:19.202736,55.65
2026-06-23T18:29:20.203729,56.2
2026-06-23T18:29:21.204779,56.2
2026-06-23T18:29:22.205830,56.75
2026-06-23T18:29:23.206893,56.2
2026-06-23T18:29:24.208309,55.65
2026-06-23T18:29:25.209603,55.65
2026-06-23T18:29:26.210983,55.1
2026-06-23T18:29:27.212019,56.75
2026-06-23T18:29:28.213044,55.1
2026-06-23T18:29:29.214100,56.2
2026-06-23T18:29:30.215108,56.75
2026-06-23T18:29:31.216130,55.65
2026-06-23T18:29:32.217623,57.3
2026-06-23T18:29:33.219027,57.3
2026-06-23T18:29:34.220034,56.75
2026-06-23T18:29:35.221040,56.75
2026-06-23T18:29:36.222114,56.2
2026-06-23T18:29:37.223131,56.75
2026-06-23T18:29:38.224639,55.65
2026-06-23T18:29:39.225949,55.65
2026-06-23T18:29:40.227440,54.55
2026-06-23T18:29:41.229281,57.85
2026-06-23T18:29:42.231036,57.3
2026-06-23T18:29:43.232039,57.3
2026-06-23T18:29:44.233045,57.3
2026-06-23T18:29:45.234053,57.85
2026-06-23T18:29:46.235347,55.65
2026-06-23T18:29:47.236645,55.1
2026-06-23T18:29:48.237969,55.65
2026-06-23T18:29:49.239452,55.65
2026-06-23T18:29:50.240765,55.65
2026-06-23T18:29:51.241800,56.75
